Fund_Name,Month,Date,NAV,Monthly_Return,Monthly_Return_Percent
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,August,2014-08-28,77.7728,0.031119407734244042,3.1119407734244042
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,September,2014-09-30,77.8652,0.0011880760368663257,0.11880760368663257
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,October,2014-10-31,81.3403,0.0446296933675121,4.46296933675121
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,November,2014-11-28,83.8864,0.03130182701563666,3.1301827015636663
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,December,2014-12-31,80.8631,-0.03604040702664546,-3.604040702664546
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,January,2015-01-30,85.5564,0.058040070192708404,5.80400701927084
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,February,2015-02-27,85.9919,0.005090209499230891,0.5090209499230891
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,March,2015-03-31,82.892,-0.03604874412590031,-3.604874412590031
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,April,2015-04-30,79.8245,-0.03700598368962016,-3.700598368962016
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,May,2015-05-29,82.2122,0.02991186916297628,2.991186916297628
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,June,2015-06-30,81.7722,-0.005352003717209786,-0.5352003717209786
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,July,2015-07-31,83.3996,0.019901629160032464,1.9901629160032464
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,August,2015-08-31,77.8825,-0.06615259545609342,-6.615259545609343
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,September,2015-09-30,77.6747,-0.0026681218502230264,-0.26681218502230264
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,October,2015-10-30,78.8091,0.014604497989692877,1.4604497989692877
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,November,2015-11-30,77.6311,-0.014947512406562113,-1.4947512406562113
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,December,2015-12-31,77.612,-0.00024603541621859293,-0.024603541621859293
