Fund_Name,Month,Date,NAV,Monthly_Return,Monthly_Return_Percent
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-10,2017-10-31,226.94,0.04244372990353695,4.244372990353695
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-11,2017-11-30,225.24,-0.007490966775359098,-0.7490966775359098
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2017-12,2017-12-29,233.26,0.035606464215947264,3.5606464215947264
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-01,2018-01-31,237.57,0.018477235702649475,1.8477235702649475
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-02,2018-02-28,226.55,-0.046386328240097585,-4.6386328240097585
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-03,2018-03-28,219.73,-0.030103729860957995,-3.0103729860957995
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-04,2018-04-30,232.04,0.05602330132435274,5.602330132435274
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-05,2018-05-31,228.49,-0.0152990863644199,-1.52990863644199
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-06,2018-06-29,225.27,-0.014092520460413982,-1.4092520460413982
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-07,2018-07-31,237.11,0.05255915124073329,5.255915124073329
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-08,2018-08-31,243.79,0.02817257812829488,2.817257812829488
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-09,2018-09-28,223.83,-0.08187374379588985,-8.187374379588984
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-10,2018-10-31,218.61,-0.023321270607157163,-2.3321270607157163
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-11,2018-11-30,226.99,0.038333104615525304,3.8333104615525304
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2018-12,2018-12-31,228.61,0.007136878276576164,0.7136878276576164
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-01,2019-01-31,224.26,-0.019028039018415766,-1.9028039018415766
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-02,2019-02-28,222.71,-0.00691162044056004,-0.691162044056004
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-03,2019-03-29,240.21,0.07857752233846704,7.857752233846704
