Metric,N_Funds,Mean_Monthly_Alpha (%),Median_Monthly_Alpha (%),Mean_Annualized_Alpha (%),Median_Annualized_Alpha (%),Mean_Beta_Market,Mean_R2,Pct_Positive_Alpha,Pct_Significant_Alpha_5pct,Mean_Sharpe,Mean_CAGR (%)
Active,33,0.17925452790352958,0.1254817559793226,2.2105283676910563,1.5162168051154001,0.9026278160899812,0.8643596269983522,87.87878787878788,15.151515151515152,0.5944942387884101,14.487462233341004
Passive,33,0.04881265225404708,0.10259197840725584,0.6145317667897793,1.2380741265043627,0.917586521491083,0.7523210598501446,78.78787878787878,0.0,0.40301834175311047,9.113470573315704
