Portfolio,N_Months,CAGR (%),Annualized_Return (%),Annualized_Volatility (%),Sharpe_Ratio,Max_Drawdown (%),Mean_Monthly_Return (%),Median_Monthly_Return (%)
Active_EW,155,14.454416326398633,15.750301197086248,15.009388901886126,0.5738464521071971,-26.246371423346815,1.2263344744027913,1.2573771133743994
Active_VW,155,15.362364554199281,16.726404773069127,15.332978936483672,0.6172152505046978,-27.91453423865485,1.2971964472701818,1.284764812582939
Passive_EW,236,10.379316569480856,12.58613147387928,19.9422155170593,0.2837283662908915,-54.60168895552145,0.9927988354220886,1.0231172876407144
Passive_VW,236,10.439774309711014,12.674091829136035,20.063348782836517,0.28590140901277084,-54.60168895552145,0.9993717165241782,1.0281606686986944
