Portfolio,Monthly_Alpha (%),Annualized_Alpha (%),Beta_Market,Beta_SMB,Beta_HML,Beta_WML,R2,Alpha_tStat,Alpha_pValue,N_Observations
Active_EW,0.11994056769343800,1.4488194627555900,0.9249443219759450,-0.0684114932944392,-0.03173035927495400,-0.08602633431303040,0.8996316731725790,0.9514668601700050,0.341367433742103,155
Active_VW,0.22046210929264300,2.6778605577308300,0.9122895968645500,-0.06295024668532260,-0.011283143863609000,-0.11901019613683400,0.8869042636612370,1.6359576131080700,0.10184845881261700,155
Passive_EW,0.06895361395602490,0.8305886278860310,0.8898466197906220,-0.15720223769496700,-0.06274807037218260,-0.10294238146990100,0.9053450686333050,0.4938021510711930,0.6214459138553390,236
Passive_VW,0.06934780305645710,0.8353550029174480,0.8936839596899340,-0.15857776110993200,-0.06672889683558210,-0.09685162766296060,0.8945830310578070,0.48281401083669000,0.6292278016495770,236
